"seed" "acc" "kappa"
"1" 1 96.24925 92.4913845097571
"2" 2 92.64715 73.9267030994111
"3" 3 96.3097 92.194394078399
"4" 4 95.9832 91.7716993068586
"5" 5 90.99615 81.6579176632214
"6" 6 94.9591 81.9302881617846
"7" 7 88.70825 77.2994290524042
"8" 8 90.8219 73.6628261896411
"9" 9 98.54465 44.7632656802649
"10" 10 87.76635 75.0545860395079
"11" 11 96.0234 91.9869427554932
"12" 12 85.98955 71.4586413728736
"13" 13 94.35425 87.3096329277164
"14" 14 92.0137 79.1422140974413
"15" 15 97.3471 45.3605607698073
"16" 16 97.432 94.372406662667
"17" 17 93.33335 84.4778459429411
"18" 18 97.7868 48.4177298395338
"19" 19 92.18935 69.5571629489927
"20" 20 95.6582 89.4895479958483
