learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.230813597,6.092884148707614E-8,100000.0,80.5,31.867732558139554,45.224719101123604,14.473684210526331,100000.0,191352.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
200000.0,1.959831983,1.2643255221933335E-7,200000.0,82.0,28.460713008227,44.61538461538459,12.195121951219472,200000.0,347320.0,173.0,87.0,87.0,9.0,0.0,0.0,1.0
300000.0,2.502285451,1.965351103849647E-7,300000.0,81.10000000000001,16.40423198046779,43.24324324324325,4.0609137055837605,300000.0,499544.0,253.0,127.0,127.0,11.0,0.0,0.0,1.0
400000.0,2.999203116,2.8207836054719157E-7,400000.0,78.0,12.476129853596456,37.853107344632775,0.0,400000.0,665432.0,335.0,168.0,168.0,11.0,0.0,0.0,1.0
500000.0,3.493863724,3.842007361435559E-7,500000.0,75.7,8.0771093088004,33.96739130434783,-2.5316455696202556,500000.0,798024.0,399.0,200.0,200.0,12.0,0.0,0.0,1.0
600000.0,3.983827787,5.051017944750273E-7,600000.0,72.2,-0.3291373137776213,25.668449197860955,-14.876033057851254,600000.0,953824.0,477.0,239.0,239.0,12.0,0.0,0.0,1.0
700000.0,4.478481132,6.508830229621898E-7,700000.0,77.60000000000001,14.225540876890646,33.92330383480826,-2.2831050228310525,700000.0,1139208.0,571.0,286.0,286.0,12.0,0.0,0.0,1.0
800000.0,4.983657599,8.191421120301366E-7,800000.0,78.9,17.907776584652243,38.483965014577265,4.95495495495496,800000.0,1287472.0,645.0,323.0,323.0,13.0,0.0,0.0,1.0
900000.0,5.459165475,9.908886719092458E-7,900000.0,79.4,7.368269585315629,38.87240356083087,1.4354066985645948,900000.0,1396152.0,699.0,350.0,350.0,13.0,0.0,0.0,1.0
1000000.0,6.027442063,1.211557201173229E-6,1000000.0,79.10000000000001,9.703620495982042,39.59537572254336,0.47619047619047666,1000000.0,1501008.0,751.0,376.0,376.0,13.0,3864.0,0.0,1.0331373067265759
1100000.0,6.52738286,1.422558526968062E-6,1100000.0,77.2,9.902077784539522,36.8421052631579,1.2987012987013,1100000.0,1631432.0,819.0,410.0,410.0,13.0,3864.0,0.0,1.0331373067265759
1200000.0,7.030313979,1.6560025717631189E-6,1200000.0,77.5,9.854324588535096,36.61971830985916,1.746724890829696,1200000.0,1794224.0,899.0,450.0,450.0,13.0,3864.0,0.0,1.0331373067265759
1300000.0,7.54632182,1.9179472599081115E-6,1300000.0,80.0,8.759124087591287,35.48387096774196,0.0,1300000.0,1962256.0,987.0,494.0,494.0,13.0,3864.0,0.0,1.0331373067265759
1400000.0,8.06805373,2.2086951252763307E-6,1400000.0,76.5,7.801195838106752,35.96730245231608,0.8438818565400852,1400000.0,2154128.0,1079.0,540.0,540.0,14.0,3864.0,0.0,1.0331373067265759
1500000.0,8.628361443,2.557368478754726E-6,1500000.0,80.0,17.738804251258617,42.19653179190752,9.90990990990992,1500000.0,2405440.0,1207.0,604.0,604.0,14.0,3864.0,0.0,1.0331373067265759
1600000.0,9.158819534,2.910321553752054E-6,1600000.0,80.10000000000001,10.542499055976135,36.01286173633443,-1.0152284263959401,1600000.0,2571984.0,1291.0,646.0,646.0,14.0,3864.0,0.0,1.0331373067265759
1700000.0,9.662842932,3.2599097853812946E-6,1700000.0,81.5,16.541855387336025,43.07692307692305,8.41584158415837,1700000.0,2681072.0,1343.0,672.0,672.0,14.0,3864.0,0.0,1.0331373067265759
1800000.0,10.202073776,3.6573235022693663E-6,1800000.0,79.60000000000001,8.356618538916996,37.23076923076923,-0.49261083743842415,1800000.0,2848856.0,1433.0,717.0,717.0,15.0,3864.0,0.0,1.0331373067265759
1900000.0,10.742943139,4.075295640892808E-6,1900000.0,79.2,8.81592214282586,39.358600583090386,3.2558139534883757,1900000.0,2987152.0,1499.0,750.0,750.0,15.0,3864.0,0.0,1.0331373067265759
2000000.0,11.377012867,4.5893436809329436E-6,2000000.0,80.0,18.84763643741128,38.27160493827161,11.111111111111121,2000000.0,3133784.0,1573.0,787.0,787.0,15.0,3853.9161372299873,0.0,1.0332182449773033
