learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.231158822,1.887682673073477E-8,100000.0,91.61500000000001,76.15906901167334,75.56533395500642,61.82563168677443,1105.0,4008.0,68.0,346.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200000.0,3.397663529,3.096475024249197E-8,200000.0,91.6815,76.27799297174124,75.61022092563002,61.818098363665584,3248.0,11712.0,56.0,322.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
300000.0,4.348836469,4.000040832262279E-8,300000.0,91.59133333333334,76.14629799327588,75.35247735644425,61.47878935955777,2143.0,8000.0,58.0,281.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
400000.0,5.346236912,5.1547686683276873E-8,400000.0,91.51375,75.93674495485153,75.11509588880418,61.13642608536364,2027.0,15984.0,74.0,378.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
500000.0,6.342736067,6.091080268374541E-8,500000.0,91.57039999999999,76.01158999166725,75.26438724368228,61.30477493275064,1132.0,8000.0,68.0,373.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600000.0,7.33927837,7.037744658584604E-8,600000.0,91.6535,76.29299630862178,75.54258644266459,61.7405056038138,1738.0,8000.0,66.0,347.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
700000.0,8.240951247,8.081645107400708E-8,700000.0,91.53371428571428,75.96349689521672,75.20728921761392,61.20450379680544,2831.0,15984.0,54.0,282.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
800000.0,9.19686933,8.89040420799185E-8,800000.0,91.681875,76.39792731972518,75.6507643782886,61.909204870035104,1908.0,4008.0,69.0,374.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900000.0,10.113222769,9.665689450868924E-8,900000.0,91.68022222222221,76.3996433097516,75.64578766254463,61.90170907555241,779.0,4008.0,48.0,263.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000000.0,11.091633706,1.0689693959177369E-7,1000000.0,91.6392,76.3079693866556,75.52989106575274,61.72495879875479,1565.0,11992.0,68.0,403.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1100000.0,12.069503352,1.192036954501975E-7,1100000.0,91.65045454545454,76.3385750263894,75.58995266558406,61.793494764779034,4885.0,19848.0,62.0,375.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
1200000.0,12.997265988,1.338003173883963E-7,1200000.0,91.66583333333334,76.37976466263015,75.6386303458725,61.87015799426585,10622.0,31952.0,58.0,330.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
1300000.0,13.97442459,1.4301204435545538E-7,1300000.0,91.67469230769231,76.38833882117073,75.66011554973834,61.913861117855916,1860.0,4008.0,64.0,377.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400000.0,14.880170506,1.5349820394108694E-7,1400000.0,91.63957142857143,76.2726722311318,75.55430242272348,61.74654792058176,4491.0,15984.0,51.0,244.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
1500000.0,15.867444795,1.6287680643445502E-7,1500000.0,91.66173333333333,76.35310182875847,75.62869981021117,61.86849670891168,1025.0,8000.0,62.0,345.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1600000.0,16.866354056,1.712247589574506E-7,1600000.0,91.6625625,76.33824256349634,75.63239345028899,61.852211959163824,1077.0,4008.0,70.0,403.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700000.0,17.78712809,1.8092827380893132E-7,1700000.0,91.61523529411765,76.17817222535338,75.48609558532684,61.62641066505857,3221.0,11992.0,49.0,267.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1800000.0,18.673213981,1.911868219243197E-7,1800000.0,91.62599999999999,76.20031565265309,75.51183532890354,61.663262788704365,4356.0,15984.0,58.0,261.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1900000.0,19.693173072,2.0087591337597204E-7,1900000.0,91.64442105263157,76.2560765021985,75.55697204285181,61.736322005302455,1885.0,8000.0,72.0,408.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2000000.0,20.605147297,2.1607725102835646E-7,2000000.0,91.61065,76.14169041188863,75.4561013428513,61.56725221211576,12204.0,35944.0,48.0,257.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
